,,ID,DATE ,VENTES P1 ,DEMANDE P1,VENTES P2,DEMANDE P2,VENTES P3,DEMANDE P3,VENTES P4,DEMANDE P4
,,737,06/01/2022,"610,76","670,460782544207","810,44","687,377619826386",631,"759,275037369208","130,5","66,3375000000001"
,,738,07/01/2022,"447,54","491,286296777514","999,68","847,882210883029",659,"792,96711509716",122,"62,0166666666667"
,,739,08/01/2022,"471,78","517,895716793349","945,74","802,132804617994","520,5","626,311659192825",235,"119,458333333333"
,,740,09/01/2022,0,0,0,0,0,0,0,0
,,741,10/01/2022,"530,42","582,26768006598","1191,84","1010,86341051019",869,"1045,6576980568",232,"117,933333333333"
,,742,11/01/2022,"525,88","577,283902554763","1448,52","1228,56748170243",756,"909,686098654708",193,"98,1083333333334"
,,743,12/01/2022,"771,4","846,80307756664","1137,32","964,622075145533",581,"699,110612855007","160,5","81,5875000000001"
,,744,13/01/2022,"721,96","792,530399118501","863,04","731,990500240566","738,5","888,628550074738","158,5","80,5708333333334"
,,745,14/01/2022,"503,08","552,255240163631","805,76","683,408260884592",643,"773,714499252616",275,"139,791666666667"
,,746,15/01/2022,"556,98","611,423876254948","1027,66","871,613549171788",474,"570,358744394619",171,"86,9250000000001"
,,747,16/01/2022,0,0,0,0,0,0,0,0
,,748,17/01/2022,"465,5","511,001857152283","1420,12","1204,47991889325",876,"1054,08071748879",213,"108,275"
,,749,18/01/2022,"751,74","825,221344996041","1139,9","966,81031148524",666,"801,390134529148","205,5","104,4625"
,,750,19/01/2022,639,"701,461195961995","1118,78","948,897307029964",525,"631,726457399103",251,"127,591666666667"
,,751,20/01/2022,"609,54","669,121529556611","1372,88","1164,4131418825",671,"807,406576980568",132,"67,1000000000001"
,,752,21/01/2022,"802,36","880,789366497756","1023,7","868,254860836424","651,05","783,400971599402","204,5","103,954166666667"
,,753,22/01/2022,"355,84","390,62277303774","1005,2","852,564018865658","579,5","697,305680119581",130,"66,0833333333334"
,,754,23/01/2022,0,0,0,0,0,0,0,0
